ID,LINKEDIN,HRTRAINING,SICKDAYS
13292,Yes,Yes,11
13293,No,No,19
13294,Yes,Yes,6
13295,No,No,13
13296,No,No,10
13297,Yes,No,14
13298,Yes,Yes,12
13299,No,Yes,15
13300,No,Yes,11
13301,Yes,Yes,9
13302,Yes,No,17
13303,Yes,Yes,16
13304,No,No,14
13305,Yes,No,11
13306,Yes,Yes,14
13307,Yes,No,18
13308,No,No,8
13309,No,No,13
13310,Yes,Yes,10
13311,Yes,No,13
13312,Yes,No,8
13313,No,No,8
13314,Yes,Yes,10
13315,Yes,Yes,9
13316,Yes,No,11
13317,Yes,Yes,14
13318,No,Yes,6
13319,No,Yes,12
13320,Yes,No,9
13321,No,No,14
13322,No,Yes,12
13323,No,Yes,7
13324,Yes,No,13
13325,Yes,No,6
13326,No,Yes,13
13327,No,Yes,7
13328,Yes,No,7
13329,Yes,Yes,6
13330,Yes,No,12
13331,Yes,No,19
13332,No,Yes,8
13333,No,Yes,3
13334,No,No,14
13335,Yes,No,9
13336,Yes,No,16
13337,No,Yes,9
13338,Yes,Yes,7
13339,Yes,Yes,11
13340,Yes,No,9
13341,No,No,11
13342,No,No,8
13343,Yes,Yes,7
13344,No,Yes,14
13345,No,No,15
13346,No,No,5
13347,Yes,No,14
13348,Yes,No,6
13349,Yes,No,13
13350,No,No,10
13351,No,No,7
13352,No,No,10
13353,No,No,13
13354,No,No,3
13355,Yes,No,8
13356,No,No,4
13357,No,No,5
13358,Yes,No,13
13359,No,No,1
13360,Yes,No,12
13361,No,No,14
13362,Yes,No,13
13363,No,No,12
13364,Yes,No,17
13365,No,No,13
13366,Yes,Yes,10
13367,No,Yes,7
13368,No,No,12
13369,Yes,Yes,8
13370,No,Yes,10
13371,Yes,No,12
13372,No,No,6
13373,Yes,No,8
13374,Yes,No,11
13375,No,No,9
13376,Yes,Yes,3
13377,Yes,No,9
13378,No,No,8
13379,Yes,No,11
13380,Yes,Yes,8
13381,No,No,11
13382,Yes,No,4
13383,No,No,9
13384,No,No,9
13385,No,No,10
13386,Yes,No,9
13387,Yes,Yes,9
13388,Yes,No,17
13389,Yes,No,7
13390,No,Yes,20
13391,No,No,5
13392,No,No,8
13393,Yes,Yes,12
13394,No,Yes,15
13395,No,No,6
13396,Yes,Yes,10
13397,Yes,Yes,21
13398,Yes,No,21
13399,Yes,Yes,10
13400,Yes,Yes,10
13401,No,No,9
13402,Yes,No,8
13403,No,No,13
13404,Yes,No,10
13405,Yes,No,5
13406,Yes,Yes,7
13407,Yes,No,8
13408,No,No,12
13409,Yes,Yes,6
13410,Yes,No,6
13411,No,Yes,9
13412,Yes,No,15
13413,Yes,Yes,7
13414,No,Yes,14
13415,No,No,8
13416,Yes,No,16
13417,No,No,12
13418,No,No,8
13419,Yes,Yes,16
13420,No,No,7
13421,Yes,Yes,10
13422,No,No,12
13423,No,No,14
13424,No,No,10
13425,No,No,12
13426,No,No,10
13427,Yes,No,15
13428,No,No,8
13429,Yes,No,11
13430,No,Yes,9
13431,Yes,No,9
13432,No,No,10
13433,No,No,17
13434,No,No,14
13435,No,Yes,10
13436,No,No,10
13437,Yes,No,14
13438,Yes,Yes,19
13439,Yes,No,7
13440,No,Yes,12
13441,Yes,No,9
13442,Yes,No,4
13443,Yes,No,5
13444,Yes,Yes,7
13445,No,No,10
13446,No,No,6
13447,No,Yes,16
13448,Yes,No,12
13449,Yes,No,11
13450,Yes,Yes,6
13451,Yes,No,10
13452,No,No,5
13453,Yes,Yes,19
13454,Yes,Yes,11
13455,Yes,No,8
13456,No,No,10
13457,No,No,14
13458,Yes,Yes,9
13459,Yes,Yes,13
13460,Yes,No,7
13461,Yes,Yes,10
13462,No,No,12
13463,No,No,9
13464,No,No,9
13465,Yes,No,7
13466,No,Yes,14
13467,No,Yes,14
13468,Yes,No,9
13469,Yes,No,7
13470,No,No,7
13471,Yes,Yes,17
13472,Yes,No,13
13473,No,No,13
13474,Yes,No,13
13475,No,No,6
13476,No,No,8
13477,No,No,11
13478,No,No,10
13479,No,No,11
13480,Yes,No,11
13481,No,No,6
13482,Yes,No,9
13483,Yes,No,9
13484,Yes,No,13
13485,Yes,No,12
13486,Yes,No,11
13487,Yes,No,9
13488,No,No,10
13489,Yes,No,10
13490,Yes,No,8
13491,No,Yes,9
13492,No,No,13
13493,Yes,Yes,15
13494,No,No,12
13495,No,No,10
13496,No,No,12
13497,No,Yes,11
13498,Yes,No,8
13499,Yes,No,13
13500,No,No,10
13501,Yes,No,11
13502,No,No,9
13503,Yes,Yes,7
13504,Yes,Yes,12
13505,No,No,10
13506,Yes,Yes,12
13507,Yes,Yes,12
13508,Yes,No,15
13509,Yes,Yes,12
13510,No,No,5
13511,No,No,14
13512,Yes,No,10
13513,Yes,Yes,10
13514,Yes,No,11
13515,Yes,No,15
13516,Yes,No,12
13517,Yes,Yes,9
13518,No,No,12
13519,No,No,11
13520,Yes,Yes,8
13521,Yes,Yes,12
13522,Yes,Yes,15
13523,No,No,14
13524,No,No,11
13525,Yes,No,8
13526,Yes,No,10
13527,Yes,Yes,15
13528,No,No,12
13529,Yes,No,5
13530,Yes,No,11
13531,Yes,Yes,14
13532,No,No,11
13533,Yes,Yes,13
13534,Yes,No,10
13535,Yes,No,12
13536,No,No,14
13537,Yes,No,12
13538,No,Yes,11
13539,No,No,6
13540,Yes,Yes,12
13541,Yes,Yes,12
13542,No,No,13
13543,No,No,5
13544,Yes,No,12
13545,No,No,14
13546,Yes,Yes,18
13547,Yes,Yes,18
13548,No,Yes,13
13549,No,No,11
13550,No,No,6
13551,No,No,15
13552,No,No,13
13553,No,Yes,15
13554,Yes,Yes,2
13555,Yes,No,5
13556,No,No,13
13557,No,Yes,12
13558,Yes,No,17
13559,Yes,No,12
13560,Yes,No,11
13561,Yes,No,8
13562,No,No,8
13563,No,No,7
13564,No,No,6
13565,Yes,No,5
13566,Yes,Yes,9
13567,No,No,7
13568,Yes,No,7
13569,No,No,6
13570,Yes,Yes,16
13571,Yes,No,15
13572,Yes,No,8
13573,No,Yes,4
13574,No,No,10
13575,Yes,No,8
13576,No,No,7
13577,No,Yes,5
13578,Yes,No,8
13579,No,No,8
13580,Yes,No,6
13581,No,No,7
13582,No,No,12
13583,Yes,No,8
13584,No,Yes,16
13585,Yes,No,7
13586,Yes,No,17
13587,Yes,Yes,15
13588,Yes,No,9
13589,No,No,5
13590,Yes,No,5
13591,No,No,14
13592,Yes,Yes,10
13593,Yes,No,7
13594,No,No,13
13595,No,No,14
13596,Yes,Yes,10
13597,Yes,No,8
13598,No,Yes,14
13599,Yes,No,10
13600,No,No,12
13601,Yes,Yes,10
13602,Yes,Yes,11
13603,Yes,No,11
13604,Yes,No,10
13605,No,No,12
13606,Yes,No,8
13607,Yes,No,14
13608,No,Yes,7
13609,Yes,No,3
13610,No,No,11
13611,No,No,12
13612,Yes,Yes,13
13613,Yes,Yes,13
13614,No,Yes,12
13615,Yes,No,14
13616,Yes,No,7
13617,Yes,No,16
13618,Yes,No,6
13619,No,No,5
13620,No,Yes,6
13621,No,No,7
13622,Yes,No,11
13623,No,No,11
13624,Yes,No,8
13625,Yes,Yes,17
13626,No,No,2
13627,Yes,Yes,16
13628,Yes,No,6
13629,Yes,Yes,17
13630,No,No,8
13631,Yes,No,16
13632,No,No,6
13633,No,No,14
13634,Yes,Yes,12
13635,Yes,No,13
13636,No,No,9
13637,No,Yes,10
13638,Yes,No,12
13639,No,No,8
13640,No,Yes,11
13641,No,No,10
13642,No,Yes,8
13643,No,No,6
13644,No,Yes,10
13645,No,No,11
13646,Yes,Yes,3
13647,No,Yes,10
13648,Yes,No,14
13649,Yes,No,6
13650,Yes,No,16
13651,Yes,No,7
13652,Yes,Yes,13
13653,Yes,Yes,17
13654,No,No,11
13655,Yes,Yes,13
13656,Yes,No,14
13657,Yes,No,11
13658,Yes,No,12
13659,Yes,No,8
13660,No,No,10
13661,No,No,11
13662,Yes,Yes,14
13663,Yes,No,10
13664,No,No,10
13665,No,No,12
13666,Yes,No,8
13667,No,Yes,12
13668,No,No,16
13669,Yes,Yes,10
13670,Yes,Yes,10
13671,Yes,No,13
13672,Yes,Yes,7
13673,Yes,Yes,10
13674,Yes,Yes,11
13675,No,No,10
13676,No,Yes,7
13677,Yes,No,5
13678,Yes,No,10
13679,No,No,15
13680,Yes,Yes,16
13681,No,No,7
13682,Yes,Yes,12
13683,Yes,Yes,12
13684,Yes,No,9
13685,No,Yes,14
13686,Yes,No,12
13687,No,Yes,9
13688,Yes,Yes,9
13689,No,No,10
13690,Yes,No,10
13691,No,Yes,14
13692,Yes,Yes,10
13693,No,No,12
13694,Yes,No,9
13695,Yes,Yes,4
13696,Yes,No,9
13697,Yes,Yes,15
13698,No,No,7
13699,No,No,12
13700,No,No,7
13701,No,No,6
13702,Yes,No,10
13703,Yes,Yes,16
13704,Yes,Yes,12
13705,Yes,No,11
13706,Yes,No,6
13707,Yes,No,7
13708,No,Yes,15
13709,No,Yes,13
13710,No,Yes,10
13711,Yes,Yes,8
13712,No,No,7
13713,Yes,No,7
13714,Yes,No,10
13715,Yes,Yes,5
13716,Yes,No,8
13717,No,No,10
13718,Yes,Yes,11
13719,Yes,Yes,14
13720,Yes,No,13
13721,Yes,No,11
13722,No,Yes,10
13723,Yes,No,17
13724,Yes,No,20
13725,No,No,4
13726,Yes,Yes,2
13727,No,No,12
13728,Yes,Yes,9
13729,Yes,No,4
13730,No,Yes,19
13731,Yes,Yes,7
13732,Yes,No,12
13733,No,No,11
13734,No,No,8
13735,Yes,No,13
13736,Yes,Yes,13
13737,No,Yes,12
13738,No,No,16
13739,Yes,Yes,13
13740,Yes,No,11
13741,No,No,13
13742,No,No,11
13743,Yes,Yes,9
13744,Yes,Yes,8
13745,No,No,6
13746,Yes,Yes,14
13747,Yes,Yes,14
13748,No,No,15
13749,No,Yes,7
13750,Yes,No,13
13751,No,No,6
13752,No,No,4
13753,No,No,8
13754,No,No,7
13755,Yes,No,10
13756,Yes,No,9
13757,Yes,Yes,11
13758,Yes,Yes,18
13759,Yes,No,13
13760,No,No,8
13761,Yes,No,9
13762,No,No,10
13763,Yes,Yes,7
13764,No,No,11
13765,Yes,No,12
13766,Yes,No,15
13767,No,No,9
13768,Yes,Yes,10
13769,Yes,Yes,10
13770,Yes,No,8
13771,Yes,No,16
13772,No,No,5
13773,Yes,No,7
13774,Yes,Yes,18
13775,No,Yes,14
13776,Yes,No,13
13777,Yes,Yes,9
13778,Yes,Yes,11
13779,No,Yes,14
13780,No,No,7
13781,Yes,No,5
13782,No,Yes,11
13783,Yes,Yes,15
13784,Yes,No,14
13785,No,No,9
13786,No,No,9
13787,Yes,No,7
13788,No,Yes,12
13789,Yes,No,14
13790,Yes,Yes,14
13791,No,No,9
13792,No,Yes,7
13793,Yes,No,6
13794,Yes,No,12
13795,Yes,No,9
13796,No,No,9
13797,Yes,Yes,9
13798,Yes,No,10
13799,Yes,Yes,18
13800,Yes,No,8
13801,No,No,9
13802,No,No,9
13803,Yes,No,12
13804,Yes,No,6
13805,No,No,14
13806,Yes,No,13
13807,No,No,9
13808,Yes,Yes,9
13809,Yes,Yes,11
13810,No,No,9
13811,No,Yes,16
13812,Yes,No,13
13813,No,No,6
13814,Yes,No,14
13815,Yes,Yes,9
13816,Yes,Yes,9
13817,No,No,9
13818,Yes,Yes,13
13819,Yes,Yes,13
13820,Yes,No,12
13821,Yes,Yes,15
13822,Yes,No,7
13823,Yes,No,9
13824,No,No,8
13825,Yes,No,12
13826,No,Yes,11
13827,No,Yes,12
13828,Yes,Yes,14
13829,Yes,No,17
13830,Yes,No,12
13831,Yes,Yes,19
13832,No,Yes,6
13833,No,No,12
13834,No,No,8
13835,Yes,No,13
13836,No,No,12
13837,No,Yes,10
13838,Yes,No,4
13839,Yes,No,12
13840,No,No,6
13841,No,No,7
13842,Yes,No,8
13843,Yes,No,12
13844,No,No,15
13845,No,No,9
13846,No,No,5
13847,No,No,2
13848,Yes,No,5
13849,Yes,No,9
13850,Yes,No,10
13851,No,No,9
13852,Yes,Yes,10
13853,Yes,Yes,10
13854,Yes,Yes,9
13855,No,No,10
13856,No,Yes,15
13857,Yes,No,14
13858,Yes,No,11
13859,Yes,No,10
13860,Yes,Yes,10
13861,No,No,10
13862,Yes,Yes,14
13863,Yes,No,12
13864,Yes,Yes,15
13865,No,No,12
13866,Yes,Yes,9
13867,No,Yes,9
13868,No,No,17
13869,Yes,No,12
13870,Yes,No,13
13871,Yes,Yes,11
13872,No,Yes,13
13873,Yes,No,15
13874,No,No,15
13875,No,Yes,16
13876,No,No,16
13877,No,No,12
13878,Yes,No,9
13879,Yes,Yes,18
13880,Yes,No,9
13881,Yes,Yes,14
13882,No,Yes,10
13883,No,Yes,3
13884,No,No,9
13885,Yes,Yes,12
13886,No,No,8
13887,Yes,No,6
13888,No,No,11
13889,No,Yes,9
13890,No,No,8
13891,Yes,Yes,14
13892,No,No,14
13893,No,No,11
13894,Yes,No,9
13895,No,No,10
13896,No,No,8
13897,Yes,No,15
13898,Yes,No,5
13899,Yes,No,9
13900,Yes,No,8
13901,No,No,4
13902,Yes,No,11
13903,No,No,10
13904,Yes,Yes,15
13905,Yes,No,10
13906,No,No,14
13907,Yes,No,11
13908,Yes,No,9
13909,No,No,10
13910,No,No,8
13911,Yes,Yes,17
13912,Yes,No,13
13913,No,No,12
13914,No,No,9
13915,Yes,No,16
13916,Yes,No,9
13917,Yes,No,10
13918,Yes,No,9
13919,Yes,No,9
13920,No,No,13
13921,No,No,8
13922,No,No,12
13923,Yes,No,11
13924,No,No,7
13925,Yes,Yes,8
13926,Yes,Yes,16
13927,No,No,9
13928,Yes,No,7
13929,Yes,Yes,17
13930,Yes,Yes,15
13931,Yes,No,12
13932,No,No,11
13933,Yes,No,10
13934,Yes,Yes,8
13935,Yes,Yes,14
13936,Yes,No,8
13937,No,No,16
13938,Yes,No,10
13939,Yes,Yes,14
13940,Yes,Yes,10
13941,No,No,9
13942,Yes,Yes,9
13943,Yes,Yes,11
13944,No,No,5
13945,Yes,Yes,9
13946,Yes,Yes,9
13947,Yes,No,15
13948,Yes,Yes,12
13949,Yes,No,10
13950,No,Yes,11
13951,No,No,12
13952,No,Yes,8
13953,No,No,9
13954,Yes,Yes,13
13955,No,No,12
13956,No,No,10
13957,No,No,6
13958,No,No,9
13959,Yes,No,8
13960,No,Yes,16
13961,No,Yes,13
13962,No,No,11
13963,No,No,10
13964,No,No,8
13965,Yes,No,11
13966,No,No,8
13967,No,No,7
13968,No,No,10
13969,Yes,Yes,12
13970,Yes,No,15
13971,Yes,No,13
13972,Yes,Yes,9
13973,Yes,No,11
13974,Yes,No,9
13975,Yes,No,12
13976,No,No,14
13977,Yes,No,10
13978,Yes,No,13
13979,Yes,No,7
13980,No,Yes,13
13981,Yes,No,10
13982,No,No,8
13983,Yes,No,5
13984,Yes,Yes,18
13985,No,No,11
13986,No,Yes,6
13987,No,No,4
13988,No,No,15
13989,Yes,No,6
13990,Yes,No,9
13991,No,No,14
13992,Yes,Yes,13
13993,Yes,No,15
13994,Yes,No,2
13995,No,No,10
13996,Yes,Yes,18
13997,Yes,No,12
13998,Yes,Yes,6
13999,No,Yes,8
14000,No,No,13
14001,No,No,14
14002,Yes,No,12
14003,Yes,No,11
14004,Yes,Yes,11
14005,No,No,12
14006,No,Yes,8
14007,No,No,2
14008,No,No,5
14009,No,Yes,12
14010,Yes,No,11
14011,Yes,Yes,5
14012,Yes,Yes,17
14013,No,No,4
14014,No,No,9
14015,Yes,No,14
14016,Yes,Yes,11
14017,Yes,No,12
14018,Yes,No,10
14019,No,No,4
14020,Yes,Yes,9
14021,No,No,13
14022,Yes,No,7
14023,No,No,5
14024,No,No,9
14025,No,Yes,13
14026,Yes,No,11
14027,Yes,Yes,14
14028,No,No,13
14029,No,No,10
14030,Yes,No,7
14031,No,No,7
14032,No,No,13
14033,No,No,10
14034,Yes,No,13
14035,No,No,13
14036,Yes,No,14
14037,Yes,No,11
14038,No,No,10
14039,No,No,10
14040,Yes,Yes,11
14041,Yes,No,3
14042,Yes,Yes,10
14043,No,Yes,13
14044,No,No,8
14045,Yes,No,9
14046,Yes,Yes,8
14047,No,No,10
14048,No,No,6
14049,No,No,13
14050,Yes,No,9
14051,No,No,8
14052,No,No,12
14053,No,No,8
14054,No,No,9
14055,Yes,Yes,9
14056,Yes,Yes,9
14057,Yes,Yes,14
14058,Yes,No,10
14059,Yes,Yes,10
14060,No,No,11
14061,Yes,No,9
14062,Yes,Yes,12
14063,Yes,No,8
14064,No,No,5
14065,Yes,Yes,12
14066,No,No,10
14067,No,No,13
14068,Yes,Yes,10
14069,No,Yes,12
14070,No,No,12
14071,No,Yes,11
14072,Yes,No,5
14073,Yes,Yes,10
14074,Yes,No,12
14075,Yes,Yes,9
14076,Yes,No,13
14077,Yes,No,8
14078,Yes,No,12
14079,No,No,8
14080,No,Yes,20
14081,No,Yes,7
14082,Yes,No,8
14083,Yes,Yes,6
14084,Yes,No,7
14085,Yes,No,7
14086,Yes,Yes,17
14087,Yes,No,7
14088,Yes,No,12
14089,No,No,14
14090,Yes,No,12
14091,Yes,No,11
14092,Yes,No,15
14093,Yes,Yes,7
14094,Yes,No,10
14095,No,No,14
14096,Yes,Yes,15
14097,No,No,6
14098,Yes,No,8
14099,Yes,No,10
14100,No,Yes,9
14101,Yes,No,14
14102,No,No,7
14103,No,No,7
14104,No,No,17
14105,No,Yes,16
14106,No,Yes,13
14107,No,No,14
14108,Yes,No,15
14109,Yes,Yes,18
14110,Yes,No,8
14111,No,No,12
14112,No,No,9
14113,No,No,4
14114,Yes,No,15
14115,Yes,No,10
14116,Yes,No,13
14117,Yes,Yes,10
14118,Yes,Yes,14
14119,Yes,No,8
14120,No,No,9
14121,Yes,Yes,9
14122,No,Yes,7
14123,Yes,No,11
14124,Yes,No,15
14125,Yes,No,10
14126,No,No,8
14127,No,No,8
14128,No,No,17
14129,No,Yes,9
14130,Yes,Yes,14
14131,Yes,No,8
14132,Yes,No,15
14133,Yes,No,7
14134,No,Yes,8
14135,No,No,8
14136,Yes,Yes,6
14137,No,No,12
14138,No,No,12
14139,Yes,Yes,10
14140,Yes,Yes,17
14141,Yes,No,9
14142,Yes,Yes,16
14143,No,No,13
14144,Yes,No,13
14145,No,Yes,18
14146,No,No,14
14147,Yes,Yes,12
14148,No,No,6
14149,Yes,No,21
14150,Yes,No,9
14151,No,No,12
14152,Yes,No,7
14153,No,No,9
14154,No,No,10
14155,No,No,12
14156,No,Yes,11
14157,No,No,11
14158,Yes,Yes,11
14159,Yes,Yes,13
14160,Yes,Yes,7
14161,Yes,Yes,14
14162,Yes,No,14
14163,Yes,Yes,12
14164,No,No,12
14165,No,No,15
14166,Yes,No,9
14167,Yes,Yes,8
14168,No,No,13
14169,No,No,17
14170,Yes,No,19
14171,No,Yes,10
14172,Yes,Yes,9
14173,Yes,No,13
14174,Yes,Yes,11
14175,No,No,12
14176,No,Yes,10
14177,No,No,12
14178,No,No,13
14179,No,No,11
14180,Yes,No,11
14181,No,Yes,10
14182,No,No,10
14183,Yes,No,14
14184,Yes,No,11
14185,No,No,16
14186,No,No,12
14187,Yes,No,5
14188,Yes,Yes,15
14189,Yes,No,15
14190,No,Yes,13
14191,No,No,3
14192,No,No,9
14193,Yes,No,13
14194,Yes,No,14
14195,Yes,No,8
14196,Yes,No,9
14197,Yes,No,17
14198,Yes,Yes,9
14199,No,No,13
14200,Yes,Yes,15
14201,Yes,No,9
14202,Yes,No,6
14203,Yes,Yes,9
14204,Yes,Yes,13
14205,Yes,No,6
14206,Yes,Yes,14
14207,No,Yes,7
14208,Yes,Yes,10
14209,Yes,No,13
14210,Yes,No,16
14211,No,No,12
14212,Yes,No,12
14213,Yes,No,12
14214,No,No,11
14215,No,Yes,8
14216,No,No,13
14217,Yes,No,9
14218,Yes,No,11
14219,Yes,Yes,10
14220,Yes,No,13
14221,No,No,19
14222,Yes,No,9
14223,Yes,No,9
14224,No,No,10
14225,No,No,11
14226,Yes,No,11
14227,Yes,Yes,15
14228,No,Yes,11
14229,Yes,No,10
14230,No,Yes,8
14231,No,No,10
14232,Yes,No,10
14233,No,Yes,11
14234,No,Yes,11
14235,Yes,No,16
14236,No,No,9
14237,No,No,9
14238,No,No,11
14239,Yes,Yes,14
14240,Yes,No,15
14241,Yes,Yes,17
14242,Yes,Yes,13
14243,Yes,No,13
14244,Yes,No,13
14245,Yes,Yes,8
14246,Yes,No,9
14247,Yes,Yes,13
14248,No,No,7
14249,Yes,No,13
14250,No,Yes,9
14251,Yes,Yes,17
14252,No,No,9
14253,No,No,12
14254,No,No,12
14255,Yes,No,4
14256,Yes,Yes,10
14257,No,No,11
14258,No,No,10
14259,Yes,No,9
14260,Yes,No,13
14261,No,Yes,7
14262,Yes,No,7
14263,No,No,11
14264,Yes,Yes,10
14265,No,Yes,10
14266,Yes,No,7
14267,Yes,No,8
14268,No,No,7
14269,No,No,9
14270,No,Yes,13
14271,Yes,Yes,13
14272,Yes,No,12
14273,No,Yes,19
14274,No,No,5
14275,Yes,Yes,15
14276,No,No,13
14277,Yes,Yes,12
14278,Yes,Yes,8
14279,Yes,No,13
14280,No,Yes,10
14281,Yes,Yes,12
14282,No,No,11
14283,No,Yes,8
14284,No,Yes,11
14285,Yes,No,10
14286,Yes,No,7
14287,Yes,No,12
14288,No,No,8
14289,No,No,5
14290,No,Yes,11
14291,Yes,No,10
14292,No,Yes,15
14293,No,No,6
14294,No,Yes,7
14295,No,No,8
14296,No,No,14
14297,Yes,Yes,15
14298,Yes,No,8
14299,Yes,No,9
14300,Yes,Yes,19
14301,No,No,11
14302,Yes,No,16
14303,Yes,No,12
14304,Yes,No,14
14305,Yes,Yes,10
14306,No,Yes,8
14307,Yes,Yes,11
14308,Yes,Yes,17
14309,Yes,Yes,18
14310,Yes,No,7
14311,Yes,No,11
14312,No,No,11
14313,No,No,9
14314,Yes,Yes,10
14315,Yes,Yes,17
14316,Yes,Yes,16
14317,Yes,No,11
14318,No,No,10
14319,Yes,No,12
14320,Yes,No,10
14321,Yes,Yes,16
14322,Yes,Yes,11
14323,No,Yes,11
14324,Yes,No,7
14325,Yes,Yes,12
14326,Yes,No,8
14327,No,Yes,10
14328,Yes,No,13
14329,Yes,No,13
14330,Yes,No,9
14331,Yes,No,12
14332,No,No,7
14333,Yes,No,13
14334,Yes,No,11
14335,Yes,No,12
14336,Yes,No,12
14337,No,Yes,14
14338,Yes,Yes,8
14339,Yes,Yes,11
14340,Yes,Yes,10
14341,No,No,13
14342,No,No,9
14343,No,No,14
14344,No,No,13
14345,No,No,7
14346,No,No,10
14347,No,No,9
14348,Yes,No,9
14349,No,No,11
14350,Yes,No,13
14351,Yes,No,11
14352,Yes,Yes,12
14353,No,Yes,13
14354,No,No,8
14355,Yes,No,9
14356,No,No,10
14357,Yes,Yes,15
14358,Yes,No,8
14359,Yes,Yes,17
14360,No,No,8
14361,Yes,Yes,10
14362,No,Yes,13
14363,No,No,9
14364,Yes,No,14
14365,Yes,Yes,16
14366,No,No,9
14367,No,No,3
14368,No,No,10
14369,Yes,No,11
14370,Yes,Yes,17
14371,No,No,10
14372,Yes,Yes,12
14373,No,No,11
14374,No,No,4
14375,Yes,Yes,14
14376,Yes,Yes,11
14377,No,Yes,14
14378,No,No,9
14379,Yes,Yes,6
14380,No,No,9
14381,Yes,No,9
14382,No,No,13
14383,No,Yes,15
14384,Yes,No,11
14385,No,No,8
14386,Yes,Yes,8
14387,No,No,14
14388,Yes,Yes,9
14389,No,No,12
14390,No,No,10
14391,No,Yes,14
14392,Yes,No,13
14393,No,No,9
14394,Yes,Yes,18
14395,No,No,13
14396,No,No,10
14397,Yes,No,11
14398,Yes,No,12
14399,No,No,7
14400,Yes,No,13
14401,Yes,Yes,11
14402,Yes,No,10
14403,No,No,10
14404,No,No,8
14405,Yes,Yes,8
14406,No,No,15
14407,No,No,17
14408,Yes,No,5
14409,Yes,No,12
14410,No,No,15
14411,No,No,14
14412,Yes,No,11
14413,No,No,12
14414,Yes,Yes,6
14415,No,No,13
14416,Yes,Yes,9
14417,Yes,No,11
14418,No,Yes,7
14419,No,Yes,8
14420,Yes,No,8
14421,Yes,No,12
14422,No,Yes,11
14423,Yes,No,10
14424,Yes,No,15
14425,No,No,10
14426,Yes,No,10
14427,No,Yes,9
14428,Yes,No,16
14429,No,No,7
14430,Yes,Yes,7
14431,Yes,No,15
14432,No,Yes,11
14433,Yes,No,6
14434,Yes,No,14
14435,No,No,11
14436,No,No,8
14437,Yes,No,9
14438,Yes,Yes,17
14439,Yes,Yes,9
14440,No,No,3
14441,Yes,No,11
14442,Yes,No,10
14443,Yes,No,14
14444,Yes,No,16
14445,Yes,No,10
14446,No,No,10
14447,Yes,Yes,11
14448,Yes,No,16
14449,Yes,No,11
14450,Yes,Yes,14
14451,Yes,No,5
14452,Yes,No,13
14453,Yes,No,8
14454,No,No,10
14455,No,No,9
14456,Yes,No,9
14457,No,No,8
14458,No,No,8
14459,No,Yes,8
14460,Yes,No,12
14461,No,Yes,13
14462,No,No,8
14463,No,No,12
14464,Yes,No,13
14465,No,Yes,7
14466,No,No,10
14467,No,No,11
14468,No,Yes,11
14469,Yes,No,6
14470,No,No,10
14471,Yes,Yes,11
14472,Yes,No,18
14473,No,No,8
14474,Yes,Yes,8
14475,Yes,Yes,13
14476,Yes,No,9
14477,Yes,No,11
14478,Yes,No,9
14479,No,No,12
14480,No,Yes,8
14481,Yes,No,8
14482,Yes,No,12
14483,No,No,8
14484,Yes,No,14
14485,No,Yes,12
14486,Yes,No,7
14487,Yes,Yes,9
14488,No,No,12
14489,No,No,12
14490,No,Yes,7
14491,Yes,No,9
14492,No,Yes,10
14493,No,Yes,17
14494,Yes,No,16
14495,No,No,6
14496,No,Yes,7
14497,Yes,Yes,14
14498,Yes,Yes,8
14499,No,Yes,13
14500,Yes,No,8
14501,Yes,Yes,18
14502,No,No,11
14503,Yes,Yes,15
14504,No,No,12
14505,Yes,No,11
14506,Yes,Yes,7
14507,Yes,No,11
14508,Yes,Yes,14
14509,Yes,No,11
14510,Yes,No,17
14511,Yes,Yes,14
14512,Yes,No,11
14513,No,No,9
14514,No,No,13
14515,No,Yes,12
14516,No,Yes,15
14517,Yes,No,11
14518,No,Yes,12
14519,No,No,6
14520,No,Yes,11
14521,Yes,Yes,9
14522,No,Yes,9
14523,No,No,9
14524,No,No,11
14525,Yes,No,8
14526,No,No,10
14527,Yes,No,9
14528,Yes,No,16
14529,Yes,Yes,16
14530,Yes,No,9
14531,Yes,No,5
14532,Yes,Yes,5
14533,No,Yes,9
14534,Yes,No,9
14535,No,Yes,9
14536,No,No,9
14537,Yes,Yes,11
14538,No,No,14
14539,Yes,No,5
14540,No,Yes,14
14541,No,No,9
14542,No,No,8
14543,No,No,16
14544,Yes,No,9
14545,Yes,Yes,14
14546,Yes,No,13
14547,No,Yes,12
14548,Yes,Yes,12
14549,Yes,No,6
14550,No,No,11
14551,Yes,No,12
14552,No,No,10
14553,Yes,No,6
14554,No,No,11
14555,No,No,7
14556,Yes,Yes,9
14557,No,Yes,8
14558,Yes,No,11
14559,No,No,7
14560,No,No,9
14561,Yes,No,5
14562,Yes,No,10
14563,Yes,Yes,13
14564,No,No,8
14565,No,No,8
14566,No,No,7
14567,No,Yes,8
14568,No,No,8
14569,Yes,No,9
14570,Yes,Yes,7
14571,No,No,13
14572,Yes,No,9
14573,Yes,No,8
14574,Yes,Yes,16
14575,Yes,No,9
14576,No,No,20
14577,No,No,10
14578,No,No,15
14579,No,No,14
14580,Yes,No,10
14581,No,No,11
14582,Yes,No,14
14583,No,No,11
14584,Yes,No,9
14585,No,Yes,5
14586,Yes,No,10
14587,No,Yes,12
